"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"GZMB","CASP10","P10144","Q92851","9606.ENSP00000216341","9606.ENSP00000286186"
"GZMB","IGF2R","P10144","P11717","9606.ENSP00000216341","9606.ENSP00000349437"
"GZMH","CASP10","P20718","Q92851","9606.ENSP00000216338","9606.ENSP00000286186"
"GZMH","IGF2R","P20718","P11717","9606.ENSP00000216338","9606.ENSP00000349437"
"HSPA1A","AIFM1","P0DMV8","O95831","9606.ENSP00000364801","9606.ENSP00000287295"
"HSPA1A","AIFM1","P0DMV8","O95831","9606.ENSP00000364801","9606.ENSP00000287295"
"HSPA1L","AIFM1","P34931","O95831","9606.ENSP00000364805","9606.ENSP00000287295"
"HSPA1L","AIFM1","P34931","O95831","9606.ENSP00000364805","9606.ENSP00000287295"
"HSPA2","AIFM1","P54652","O95831","9606.ENSP00000378199","9606.ENSP00000287295"
"HSPA2","AIFM1","P54652","O95831","9606.ENSP00000378199","9606.ENSP00000287295"
"HSPA5","AIFM1","P11021","O95831","9606.ENSP00000324173","9606.ENSP00000287295"
"HSPA5","AIFM1","P11021","O95831","9606.ENSP00000324173","9606.ENSP00000287295"
"HSPA6","AIFM1","P17066","O95831","9606.ENSP00000310219","9606.ENSP00000287295"
"HSPA6","AIFM1","P17066","O95831","9606.ENSP00000310219","9606.ENSP00000287295"
"HSPA8","AIFM1","P11142","O95831","9606.ENSP00000437125","9606.ENSP00000287295"
"HSPA8","AIFM1","P11142","O95831","9606.ENSP00000437125","9606.ENSP00000287295"
"IKBKB","NFKBIA","O14920","P25963","9606.ENSP00000430684","9606.ENSP00000216797"
"IKBKB","NFKBIA","O14920","P25963","9606.ENSP00000430684","9606.ENSP00000216797"
"LTA","CRADD","P01374","P78560","9606.ENSP00000403495","9606.ENSP00000439068"
"LTA","FADD","P01374","Q13158","9606.ENSP00000403495","9606.ENSP00000301838"
"LTA","MADD","P01374","Q8WXG6","9606.ENSP00000403495","9606.ENSP00000310933"
"LTA","MAP3K14","P01374","Q99558","9606.ENSP00000403495","9606.ENSP00000482657"
"LTA","MAP3K5","P01374","Q99683","9606.ENSP00000403495","9606.ENSP00000351908"
"LTA","MAP3K5","P01374","Q99683","9606.ENSP00000403495","9606.ENSP00000351908"
"LTA","RIPK1","P01374","Q13546","9606.ENSP00000403495","9606.ENSP00000259808"
"LTA","TNFRSF1A","P01374","P19438","9606.ENSP00000403495","9606.ENSP00000162749"
"LTA","TNFRSF1B","P01374","P20333","9606.ENSP00000403495","9606.ENSP00000365435"
"LTA","TRADD","P01374","Q15628","9606.ENSP00000403495","9606.ENSP00000341268"
"LTA","TRAF2","P01374","Q92844","9606.ENSP00000403495","9606.ENSP00000259075"
"LTA","TRAF2","P01374","Q92844","9606.ENSP00000403495","9606.ENSP00000259075"
"LTB","CRADD","Q06643","P78560","9606.ENSP00000410481","9606.ENSP00000439068"
"LTB","FADD","Q06643","Q13158","9606.ENSP00000410481","9606.ENSP00000301838"
"LTB","MADD","Q06643","Q8WXG6","9606.ENSP00000410481","9606.ENSP00000310933"
