From	To
Q9UBV4	9606.ENSP00000222462
P04628	9606.ENSP00000293549
P09544	9606.ENSP00000265441
Q93097	9606.ENSP00000358698
P56704	9606.ENSP00000284523
P56703	9606.ENSP00000225512
P56705	9606.ENSP00000290167
P41221	9606.ENSP00000264634
Q9H1J7	9606.ENSP00000380379
Q9Y6F9	9606.ENSP00000233948
O00755	9606.ENSP00000285018
P56706	9606.ENSP00000341032
Q9H1J5	9606.ENSP00000426653
Q93098	9606.ENSP00000340677
O14904	9606.ENSP00000272164
O14905	9606.ENSP00000290015
Q9HCS4	9606.ENSP00000282111
Q9NQB0	9606.ENSP00000486891
Q9BZK7	9606.ENSP00000405574
O60907	9606.ENSP00000495556
Q9BQ87	9606.ENSP00000372499
Q14517	9606.ENSP00000406229
Q9NYQ8	9606.ENSP00000261800
Q8TDW7	9606.ENSP00000432586
Q9P2E7	9606.ENSP00000264360
Q9BZA7	9606.ENSP00000362186
Q9NPG4	9606.ENSP00000231484
Q96QU1	9606.ENSP00000363068
Q9HCL0	9606.ENSP00000355082
Q8TAB3	9606.ENSP00000362125
Q08174	9606.ENSP00000287008
Q8N6Y1	9606.ENSP00000386653
O60245	9606.ENSP00000441802
O95206	9606.ENSP00000367177
Q9HC56	9606.ENSP00000367096
Q9Y5I2	9606.ENSP00000304234
Q9Y5I1	9606.ENSP00000381636
Q9UN75	9606.ENSP00000381628
Q9Y5I0	9606.ENSP00000289272
Q9Y5I3	9606.ENSP00000420840
Q9Y5H9	9606.ENSP00000431748
Q9Y5H8	9606.ENSP00000429808
Q9UN74	9606.ENSP00000435300
Q9Y5H7	9606.ENSP00000436557
Q9UN73	9606.ENSP00000433378
Q9UN72	9606.ENSP00000436426
Q9Y5H6	9606.ENSP00000434655
Q9Y5H5	9606.ENSP00000436042
Q9H158	9606.ENSP00000253807
Q9Y5I4	9606.ENSP00000289269
Q9UN67	9606.ENSP00000239446
Q9Y5F2	9606.ENSP00000346802
Q9Y5F1	9606.ENSP00000239450
Q9Y5F0	9606.ENSP00000345491
Q9Y5E9	9606.ENSP00000239449
Q9Y5E8	9606.ENSP00000231173
Q9NRJ7	9606.ENSP00000477314
Q9Y5F3	9606.ENSP00000307234
Q9Y5E7	9606.ENSP00000194155
Q9Y5E6	9606.ENSP00000231130
Q9Y5E5	9606.ENSP00000194152
Q9Y5E4	9606.ENSP00000231134
Q9Y5E3	9606.ENSP00000231136
Q9Y5E2	9606.ENSP00000231137
Q9UN66	9606.ENSP00000239444
Q9Y5H3	9606.ENSP00000381611
Q9Y5H2	9606.ENSP00000381589
O60330	9606.ENSP00000252085
Q9Y5H4	9606.ENSP00000431083
Q9Y5H1	9606.ENSP00000378077
Q9Y5H0	9606.ENSP00000253812
Q9Y5G8	9606.ENSP00000429834
Q9Y5G7	9606.ENSP00000429601
Q9Y5G6	9606.ENSP00000430024
Q9Y5G5	9606.ENSP00000381605
Q9Y5G3	9606.ENSP00000429273
Q9Y5G2	9606.ENSP00000429018
Q9Y5F9	9606.ENSP00000428603
Q9Y5F8	9606.ENSP00000381594
Q9UN70	9606.ENSP00000312070
Q9Y5F7	9606.ENSP00000306918
Q9Y5F6	9606.ENSP00000252087
P50151	9606.ENSP00000363411
Q9UBI6	9606.ENSP00000360021
Q9P2W3	9606.ENSP00000248150
P59768	9606.ENSP00000334448
P63215	9606.ENSP00000294117
P50150	9606.ENSP00000398629
P63218	9606.ENSP00000359675
O60262	9606.ENSP00000371594
O14610	9606.ENSP00000421710
Q9UK08	9606.ENSP00000300873
P17252	9606.ENSP00000408695
P05771	9606.ENSP00000496129
Q05655	9606.ENSP00000331602
Q02156	9606.ENSP00000306124
P05129	9606.ENSP00000263431
P24723	9606.ENSP00000329127
P41743	9606.ENSP00000295797
Q04759	9606.ENSP00000263125
Q05513	9606.ENSP00000367830
O95644	9606.ENSP00000389377
Q13469	9606.ENSP00000379330
Q12968	9606.ENSP00000300659
Q14934	9606.ENSP00000388910
