"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"BCL9","SMAD4","O00512","Q13485","9606.ENSP00000234739","9606.ENSP00000341551"
"BCL9","SMAD5","O00512","Q99717","9606.ENSP00000234739","9606.ENSP00000441954"
"BCL9","SMARCA1","O00512","P28370","9606.ENSP00000234739","9606.ENSP00000360162"
"BCL9","SMARCA2","O00512","P51531","9606.ENSP00000234739","9606.ENSP00000371638"
"BCL9","SMARCA4","O00512","P51532","9606.ENSP00000234739","9606.ENSP00000343896"
"BCL9","SMARCA5","O00512","O60264","9606.ENSP00000234739","9606.ENSP00000283131"
"BCL9","SMARCAL1","O00512","Q9NZC9","9606.ENSP00000234739","9606.ENSP00000349823"
"BCL9","SMARCB1","O00512","Q12824","9606.ENSP00000234739","9606.ENSP00000340883"
"BCL9","SMARCC1","O00512","Q92922","9606.ENSP00000234739","9606.ENSP00000254480"
"BCL9","SMARCC2","O00512","Q8TAQ2","9606.ENSP00000234739","9606.ENSP00000449396"
"BCL9","SMARCD1","O00512","Q96GM5","9606.ENSP00000234739","9606.ENSP00000378414"
"BCL9","SMARCD2","O00512","Q92925","9606.ENSP00000234739","9606.ENSP00000392617"
"BCL9","SMARCD3","O00512","Q6STE5","9606.ENSP00000234739","9606.ENSP00000262188"
"BCL9","SMARCE1","O00512","Q969G3","9606.ENSP00000234739","9606.ENSP00000323967"
"BCL9","SRCAP","O00512","Q6ZRS2","9606.ENSP00000234739","9606.ENSP00000262518"
"BCL9","TCF7L1","O00512","Q9HCS4","9606.ENSP00000234739","9606.ENSP00000282111"
"BCL9","TCF7L2","O00512","Q9NQB0","9606.ENSP00000234739","9606.ENSP00000486891"
"BMPR1A","NLK","P36894","Q9UBE8","9606.ENSP00000361107","9606.ENSP00000384625"
"BMPR1A","NLK","P36894","Q9UBE8","9606.ENSP00000361107","9606.ENSP00000384625"
"BMPR1B","NLK","O00238","Q9UBE8","9606.ENSP00000401907","9606.ENSP00000384625"
"BMPR1B","NLK","O00238","Q9UBE8","9606.ENSP00000401907","9606.ENSP00000384625"
"BTRC","CSNK1A1L","Q9Y297","Q8N752","9606.ENSP00000359206","9606.ENSP00000369126"
"BTRC","CSNK1A1","Q9Y297","P48729","9606.ENSP00000359206","9606.ENSP00000261798"
"BTRC","CSNK1D","Q9Y297","P48730","9606.ENSP00000359206","9606.ENSP00000381531"
"BTRC","CSNK1E","Q9Y297","P49674","9606.ENSP00000359206","9606.ENSP00000380044"
"BTRC","CSNK1G2","Q9Y297","P78368","9606.ENSP00000359206","9606.ENSP00000255641"
"BTRC","CSNK1G3","Q9Y297","Q9Y6M4","9606.ENSP00000359206","9606.ENSP00000353904"
"BTRC","CTNNB1","Q9Y297","P35222","9606.ENSP00000359206","9606.ENSP00000495360"
"BTRC","GSK3B","Q9Y297","P49841","9606.ENSP00000359206","9606.ENSP00000324806"
"BTRC","PPP2CA","Q9Y297","P67775","9606.ENSP00000359206","9606.ENSP00000418447"
"BTRC","PPP2CB","Q9Y297","P62714","9606.ENSP00000359206","9606.ENSP00000221138"
"BTRC","PPP2R5A","Q9Y297","Q15172","9606.ENSP00000359206","9606.ENSP00000261461"
"BTRC","PPP2R5B","Q9Y297","Q15173","9606.ENSP00000359206","9606.ENSP00000164133"
"BTRC","PPP2R5C","Q9Y297","Q13362","9606.ENSP00000359206","9606.ENSP00000412324"
"BTRC","PPP2R5D","Q9Y297","Q14738","9606.ENSP00000359206","9606.ENSP00000417963"
"BTRC","PPP2R5E","Q9Y297","Q16537","9606.ENSP00000359206","9606.ENSP00000337641"
"CDH10","CTNNA1","Q9Y6N8","P35221","9606.ENSP00000264463","9606.ENSP00000304669"
"CDH10","CTNNA2","Q9Y6N8","P26232","9606.ENSP00000264463","9606.ENSP00000384638"
"CDH10","CTNNA3","Q9Y6N8","Q9UI47","9606.ENSP00000264463","9606.ENSP00000389714"
"CDH10","CTNNAL1","Q9Y6N8","Q9UBT7","9606.ENSP00000264463","9606.ENSP00000320434"
"CDH10","CTNNB1","Q9Y6N8","P35222","9606.ENSP00000264463","9606.ENSP00000495360"
"CDH11","CTNNA1","P55287","P35221","9606.ENSP00000268603","9606.ENSP00000304669"
"CDH11","CTNNA2","P55287","P26232","9606.ENSP00000268603","9606.ENSP00000384638"
"CDH11","CTNNA3","P55287","Q9UI47","9606.ENSP00000268603","9606.ENSP00000389714"
"CDH11","CTNNAL1","P55287","Q9UBT7","9606.ENSP00000268603","9606.ENSP00000320434"
"CDH11","CTNNB1","P55287","P35222","9606.ENSP00000268603","9606.ENSP00000495360"
"CDH12","CTNNA1","P55289","P35221","9606.ENSP00000371689","9606.ENSP00000304669"
"CDH12","CTNNA2","P55289","P26232","9606.ENSP00000371689","9606.ENSP00000384638"
"CDH12","CTNNA3","P55289","Q9UI47","9606.ENSP00000371689","9606.ENSP00000389714"
